table	count
accounts_clientprofile	0
accounts_department	0
accounts_user	2
ai_actions_generatedoutput	0
audit_auditevent	0
auth_group	0
auth_permission	100
django_admin_log	5
django_content_type	25
django_session	0
evidence_evidenceitem	0
exports_exportjob	0
exports_importlog	0
exports_printpackitem	0
frameworks_area	1
frameworks_framework	1
frameworks_standard	1
indicators_indicator	2
indicators_projectindicator	0
indicators_projectindicatorcomment	0
indicators_projectindicatorstatushistory	0
masters_mastervalue	0
projects_accreditationproject	0
recurring_recurringevidenceinstance	0
recurring_recurringrequirement	0
