table	count
accounts_clientprofile	1
accounts_department	5
accounts_user	21
ai_actions_generatedoutput	1
audit_auditevent	1520
auth_group	0
auth_permission	100
django_admin_log	5
django_content_type	25
django_session	606
evidence_evidenceitem	133
exports_exportjob	32
exports_importlog	0
exports_printpackitem	45
frameworks_area	4
frameworks_framework	4
frameworks_standard	4
indicators_indicator	5
indicators_projectindicator	271
indicators_projectindicatorcomment	0
indicators_projectindicatorstatushistory	168
masters_mastervalue	0
projects_accreditationproject	275
recurring_recurringevidenceinstance	239
recurring_recurringrequirement	259
