accrediops-backend  | [08/May/2026 08:12:17] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:12:20] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:12:21] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:12:21] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:12:21] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:12:30] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:12:30] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:12:33] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:12:49] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:12:49] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:13:05] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:13:10] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:13:12] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:12] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:12] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:14] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:13:16] "POST /api/auth/login/ HTTP/1.1" 200 145
accrediops-backend  | [08/May/2026 08:13:16] "GET /api/auth/session/ HTTP/1.1" 200 145
accrediops-backend  | [08/May/2026 08:13:16] "GET /api/auth/session/ HTTP/1.1" 200 145
accrediops-backend  | [08/May/2026 08:13:18] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:13:20] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:20] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:20] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:13:20] "HEAD /api/auth/session/ HTTP/1.1" 200 0
accrediops-backend  | [08/May/2026 08:13:21] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:13:22] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:22] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:23] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:13:25] "POST /api/auth/login/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:13:25] "GET /api/auth/session/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:13:27] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:13:28] "POST /api/auth/login/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:13:28] "GET /api/auth/session/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:13:29] "GET /api/auth/session/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:13:33] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:13:33] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:37] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:13:37] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:13:37] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:13:37] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:13:38] "POST /api/projects/ HTTP/1.1" 201 521
